feature,importance
sector_risk,0.17468354430379748
funded_amount,0.11392405063291139
sector_encoded,0.10126582278481013
terms.disbursal_currency_risk,0.09113924050632911
paid_amount,0.0759493670886076
is_female,0.0759493670886076
lon,0.06329113924050633
terms.loan_amount,0.05063291139240506
repayment_ratio,0.05063291139240506
terms.disbursal_currency_encoded,0.0379746835443038
borrower_pictured,0.0379746835443038
terms.disbursal_amount,0.02531645569620253
lat,0.02531645569620253
location.country_risk,0.02531645569620253
location.country_encoded,0.02531645569620253
delinquent,0.02531645569620253
amount,0.0
disbursal_year,0.0
disbursal_month,0.0
